pct1	propionate_in + ATP + CoA <=> propionyl_CoA + ADP + Pi
pcc	ATP + CO2 + propionyl_CoA + H2O <=> ADP + Pi + S_methylmalonyl_CoA
epi	S_methylmalonyl_CoA <=> R_methylmalonyl_CoA
mcm	R_methylmalonyl_CoA <=> succinyl_CoA
suc	succinyl_CoA + ADP + Pi <=> ATP + CoA + succinate
frd	succinate + MK <=> fumarate + MKH2
fum	fumarate + H2O <=> S_malate
mdh	S_malate + NAD <=> oxaloacetate + NADH
pcb	oxaloacetate + ADP + Pi <=> pyruvate + ATP + CO2 + H2O
por	pyruvate + 2 Fd_ox + CoA <=> acetyl_CoA + 2 Fd_red + CO2
pct2	acetyl_CoA + ADP + Pi <=> acetate_in + ATP + CoA
hdr	2 Fd_red + NADH <=> 2 Fd_ox + NAD + 2 H2
fdo	2 Fd_red + NADH + 2 CO2 <=> 2 Fd_ox + NAD + 2 formate_in
oxlT	oxalate_out + formate_in + ATP + H2O <=> oxalate_in + formate_out + AMP + PPi
ATPase	AMP + PPi <=> ATP + H2O
oxaD	oxaloacetate + Mg_out <=> pyruvate + CO2 + Mg_in
nuo	NADPH + MK <=> NADP + MKH2
fix	MK + NADH <=> NAD + MKH2
aceT	acetate_in <=> acetate_out
prpT	propionate_out <=> propionate_in
