Id	Name	Type
pprT	prpT	Reaction
pct1	pct1	Reaction
pcc	pcc	Reaction
epi	epi	Reaction
mcm	mcm	Reaction
suc	suc	Reaction
frd	frd	Reaction
fum	fum	Reaction
mdh	mdh	Reaction
pcb	pcb	Reaction
oxaD	oxaD	Reaction
por	por	Reaction
pct2	pct2	Reaction
aceT	aceT	Reaction
hdr	hdr	Reaction
fdo	fdo	Reaction
oxlT	oxlT	Reaction
fix	fix	Reaction
nuo	nuo	Reaction
ATPase	ATPase	Reaction
acetate_in	Acetate (in)	Metabolite
acetate_out	Acetate (out)	Metabolite
acetyl_CoA	Acetyl-CoA	Metabolite
ADP	ADP	Metabolite
AMP	AMP	Metabolite
ATP	ATP	Metabolite
CO2	CO2	Metabolite
CoA	CoA	Metabolite
Fd_ox	Oxidized Fd	Metabolite
Fd_red	Reduced Fd	Metabolite
formate_in	Formate (in)	Metabolite
formate_out	Formate (out)	Metabolite
fumarate	Fumarate	Metabolite
H2	Hydrogen	Metabolite
H2O	Water	Metabolite
Mg_in	Magnesium (in)	Metabolite
Mg_out	Magnesium (out)	Metabolite
MK	MK	Metabolite
MKH2	MKH2	Metabolite
NAD	NAD	Metabolite
NADH	NADH	Metabolite
NADP	NADP	Metabolite
NADPH	NADPH	Metabolite
oxalate_in	Oxalate (in)	Metabolite
oxalate_out	Oxalate (out)	Metabolite
oxaloacetate	Oxaloacetate	Metabolite
Pi	Pi	Metabolite
PPi	PPi	Metabolite
propionate_in	Propionate (in)	Metabolite
propionate_out	Propionate (out)	Metabolite
propionyl_CoA	Propionyl-CoA	Metabolite
pyruvate	Pyruvate	Metabolite
R_methylmalonyl_CoA	R-methylmalonyl-CoA	Metabolite
S_malate	S-malate	Metabolite
S_methylmalonyl_CoA	S-methylmalonyl-CoA	Metabolite
succinate	Succinate	Metabolite
succinyl_CoA	Succinyl-CoA	Metabolite
free	Unrestricted	Group
prpHi_acLo	High Prp./Low Ac.	Group
acHi	High Ac.	Group
prpLo	Low Prp.	Group
prpLo_acHi	Low Prp./High Ac.	Group
