	pct1	pcc	epi	mcm	suc	frd	fum	mdh	pcb	por	pct2	hdr	fdo	oxlT	ATPase	oxaD	nuo	fix	aceT	prpT
ADP	1	1	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0
AMP	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0
ATP	-1	-1	0	0	1	0	0	0	1	0	1	0	0	-1	1	0	0	0	0	0
CO2	0	-1	0	0	0	0	0	0	1	1	0	0	-2	0	0	1	0	0	0	0
CoA	-1	0	0	0	1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0
Fd_ox	0	0	0	0	0	0	0	0	0	-2	0	2	2	0	0	0	0	0	0	0
Fd_red	0	0	0	0	0	0	0	0	0	2	0	-2	-2	0	0	0	0	0	0	0
H2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H2O	0	-1	0	0	0	0	-1	0	1	0	0	0	0	-1	1	0	0	0	0	0
MK	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
MKH2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Mg_in	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Mg_out	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
NAD	0	0	0	0	0	0	0	-1	0	0	0	1	1	0	0	0	0	1	0	0
NADH	0	0	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	-1	0	0
NADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NADPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
PPi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0
Pi	1	1	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0
R_methylmalonyl_CoA	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_malate	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0
S_methylmalonyl_CoA	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetate_in	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0
acetate_out	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
acetyl_CoA	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0
formate_in	0	0	0	0	0	0	0	0	0	0	0	0	2	-1	0	0	0	0	0	0
formate_out	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
fumarate	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
oxalate_in	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
oxalate_out	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
oxaloacetate	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	0	0	0	0
propionate_in	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
propionate_out	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
propionyl_CoA	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyruvate	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	0
succinate	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
succinyl_CoA	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
