	po_pct1	po_pcc	po_epi	po_mcm	po_suc	po_frd	po_fum	po_mdh	po_pcb	po_por	po_pct2	po_hdr	po_fdo	po_oxlT	po_ATPase	po_oxaD	po_nuo	po_fix	po_aceT	hm_Eha	hm_ATPS	hm_Fru	hm_Fdh1	hm_frmT	hm_HdrH	hm_HdrF	hm_Fwd	hm_Ftr	hm_Mch	hm_Hmd	hm_Mtd	hm_Mer	hm_Mtr	hm_Mcr	ac_Eha	ac_ATPS	ac_frmT	ac_HdrH	ac_HdrF	ac_aceT	ac_pct	ac_acs	ac_Mtr	ac_Mcr
CH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CO2	0	-1	0	0	0	0	0	0	1	1	0	0	-2	0	0	1	0	0	0	0	0	0	1	0	0	2	-1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
H2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	-1	0	0	-2	0	0	0	0	-1	0	0	0	0	1	0	0	-2	0	0	0	0	0	0
H2O	0	-1	0	0	0	0	-1	0	1	0	0	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0
Mg_out	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Na_out	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	-1	0	0	0	0	0	0	1	0
ac_ADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0
ac_ATP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0
ac_CoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0
ac_CoMSSCoB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1
ac_Fd_ox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	-2	-2	0	0	-2	0	0
ac_Fd_red	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	2	2	0	0	2	0	0
ac_H4MPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0
ac_HSCoB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	-1
ac_HSCoM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	0
ac_Na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	-1	0
ac_Pi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0
ac_acetate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0
