	R00351	R01325	R01900	R00709	R08549	R00405	M00148	R01082	R00342
C00001	-1	1	-1	0	0	0	0	-1	0
C00002	0	0	0	0	0	1	0	0	0
C00003	0	0	0	-1	-1	0	0	0	-1
C00004	0	0	0	1	1	0	0	0	1
C00008	0	0	0	0	0	-1	0	0	0
C00009	0	0	0	0	0	-1	0	0	0
C00010	1	0	0	0	-1	1	0	0	0
C00011	0	0	0	1	1	0	0	0	0
C00024	-1	0	0	0	0	0	0	0	0
C00026	0	0	0	1	-1	0	0	0	0
C00036	-1	0	0	0	0	0	0	0	1
C00042	0	0	0	0	0	1	-1	0	0
C00091	0	0	0	0	1	-1	0	0	0
C00122	0	0	0	0	0	0	1	-1	0
C00149	0	0	0	0	0	0	0	1	-1
C00158	1	-1	0	0	0	0	0	0	0
C00311	0	0	1	-1	0	0	0	0	0
C00390	0	0	0	0	0	0	1	0	0
C00399	0	0	0	0	0	0	-1	0	0
C00417	0	1	-1	0	0	0	0	0	0
