Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.1484049892790695	-6.255648436333347	-9.08769010566524	-7.750892343157229	-4.493292368926014	-6.517493942638431	-11.205440765222267	-5.960016165528373	-7.536424896449209	-15.703564101110885	-7.364261119712891	-6.50755910282688	-7.5951150776636265	-6.702818207026729	-4.852765319092462	-13.168153962170615	-7.552116971776686	-7.624316512426337	-10.62991541055757
0	20	0.0	-7.107260080130407	-6.19081631960342	-9.102705189613202	-7.768772914137609	-4.420218625484322	-6.478823237608021	-11.205440765222267	-5.947408515409436	-7.513667242971014	-15.74306638052223	-7.336301864406231	-6.532664454138276	-7.596856716644046	-6.704258966010505	-4.884022132028882	-13.263782347801387	-7.483249745584867	-7.6147378923443805	-10.527606437389316
0	30	0.0	-7.110400521189681	-6.19565370509967	-9.029433628941574	-7.762916104397255	-4.41848590945579	-6.4670007694524605	-11.205440765222267	-6.005213040526567	-7.455930236665665	-15.7330692557139	-7.290784900584989	-6.513828767923728	-7.612117450328895	-6.71835502291609	-4.934460203697568	-13.274464133984432	-7.515239324977644	-7.665396366476705	-10.569523045641317
0	40	0.0	-7.070807652153824	-6.141958874127495	-8.990729894644788	-7.804546418665298	-4.4078135474489315	-6.4037205795432595	-11.205440765222267	-5.978030315297263	-7.491789405797281	-15.652075798153446	-7.3772860387992925	-6.561175515450138	-7.608214198239819	-6.728370312394107	-4.871857141372223	-13.235578057458497	-7.467478400937086	-7.723571400555148	-10.665943490795216
0	50	0.0	-7.072361426617071	-6.163951744487907	-8.965829966862978	-7.856809478967338	-4.381502685710333	-6.367376690169566	-11.205440765222267	-5.955012296573612	-7.512682775594671	-15.655390510810193	-7.417804404366372	-6.586598487152607	-7.599665792639908	-6.708340566530677	-4.895090531970384	-13.190854144273889	-7.525969529158286	-7.704986325465651	-10.682568805699209
0	60	0.0	-7.0863389720506405	-6.107168025432622	-8.978554745781949	-7.9661669738940954	-4.354271929973929	-6.387610745589363	-11.205440765222267	-5.92779314176198	-7.577363579077452	-15.65503388739801	-7.4286204560194244	-6.576401183642179	-7.583101904316104	-6.698268922160652	-4.90870700209181	-13.109207244171165	-7.52292829862191	-7.598575473427634	-10.6237410735528
0	70	0.0	-7.138491434283874	-6.135593009235656	-8.969442369376308	-7.934734151885421	-4.374163552600212	-6.341765957457076	-11.205440765222267	-5.909756974483063	-7.582124821498473	-15.672843804328322	-7.351924380384082	-6.5861849423750645	-7.614802872637396	-6.719026258094648	-4.883886881578375	-13.111175194300909	-7.587206869540846	-7.584862836784664	-10.593152971669111
0	80	0.0	-7.160983918079345	-6.149611400500068	-8.996169990111333	-7.885561120750446	-4.366008449548097	-6.341161361661604	-11.205440765222267	-5.9336967135304794	-7.553435036956585	-15.640179694860622	-7.365474928968358	-6.605806600138349	-7.588976555238898	-6.715209153470991	-4.840670272694517	-13.09068779480171	-7.57251938510031	-7.6258487976397715	-10.557493520142977
0	90	0.0	-7.19873665495972	-5.98998162172023	-8.94804449936725	-7.890721921890175	-4.547522829409668	-6.342563075490492	-11.205440765222267	-5.86381972543346	-7.549872698194909	-15.6861763682528	-7.488470508355574	-6.555412244621067	-7.6080946600569614	-6.720059410003785	-4.856521230896412	-13.181423631034638	-7.5152760636818146	-7.5831841968111275	-10.488828456886182
